City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
228,Brandenburg,DE,56.16,scattered clouds,52.4167,12.55,SEEHOTEL Brandenburg a.d. Havel
229,Militello In Val Di Catania,IT,60.01,clear sky,37.2748,14.7934,B&B Piazza San Benedetto
230,Golakganj,IN,77.61,clear sky,26.1,89.8333,ABHIK SEN
231,Pergamino,AR,72.18,clear sky,-33.89,-60.5736,Hotel Fachinat
232,Mikhaylovka,RU,56.79,overcast clouds,50.06,43.2379,5 Komnat
234,Prescot,GB,68.94,few clouds,53.4295,-2.8003,Prescot Apartment
235,Lorengau,PG,80.64,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
236,Black Forest,US,43.18,clear sky,39.0131,-104.7008,Datt Properties
237,Aginskoye,RU,32.58,overcast clouds,51.1,114.53,Кочевник
238,Adwa,ET,69.89,light rain,14.1646,38.8955,Maay Assa Hotel
239,Jijiga,ET,70.52,light rain,9.35,42.8,RAMAAS HOTEL
240,Soyo,AO,80.2,broken clouds,-6.1349,12.3689,Hotel Mpampa
241,La Romana,DO,86.36,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
242,Sorland,NO,42.53,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
243,Champerico,GT,87.87,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
244,Tasiilaq,GL,37.56,light rain,65.6145,-37.6368,The Red House
245,Havoysund,NO,41.23,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
247,Opalenica,PL,53.74,broken clouds,52.3089,16.4128,Hotel Remes • Sport & Spa
248,Marsabit,KE,75.34,overcast clouds,2.3284,37.9899,Chicho Hotel
249,Hyeres,FR,79.45,clear sky,43.1167,6.1167,ibis budget Hyères Centre-Ville
250,Kaitangata,NZ,41.95,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
251,Coari,BR,82.26,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
253,Brae,GB,46.51,overcast clouds,60.3964,-1.353,Busta House Hotel
254,Mporokoso,ZM,63.91,light rain,-9.3727,30.125,Government Guest House
255,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
256,Santa Rosa De Lima,SV,91.4,scattered clouds,13.6247,-87.8936,Hotel Mediterraneo Inn
257,Mizan Teferi,ET,62.01,overcast clouds,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
258,Fortuna,US,46.92,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
259,Lanigan,CA,24.69,overcast clouds,51.8501,-105.0344,Ross Inn
260,Kuusamo,FI,39.24,clear sky,65.9667,29.1833,Hotel Kuusanka
261,Pacific Grove,US,57.42,broken clouds,36.6177,-121.9166,Lovers Point Inn
262,Urengoy,RU,20.89,snow,65.9667,78.3667,Gostinnitsa Medveditsa
264,Los Llanos De Aridane,ES,67.75,broken clouds,28.6585,-17.9182,Valle Aridane
265,Loandjili,CG,80.56,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
266,Batticaloa,LK,81.14,scattered clouds,7.7102,81.6924,Grand Star Guest House
267,Ancud,CL,65.23,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
268,Kanker,IN,83.48,broken clouds,20.2719,81.4931,STARiHOTEL Kanker
269,Rawson,AR,61.12,clear sky,-43.3002,-65.1023,Hosteria Sampedro
271,Torbay,CA,55.27,few clouds,47.6666,-52.7314,Gallows Cove
273,Maceio,BR,89.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
274,Byron Bay,AU,62.49,broken clouds,-28.65,153.6167,Backpackers Inn
275,Sakakah,SA,81.97,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
276,Lazaro Cardenas,MX,83.19,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
277,Lagoa,PT,59.68,overcast clouds,39.05,-27.9833,Casa Das Faias
278,Fort Nelson,CA,13.59,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
279,Warrnambool,AU,66.11,overcast clouds,-38.3833,142.4833,Lady Bay Resort
280,Doka,SD,93.2,overcast clouds,13.5167,35.7667,Um Rakuba Refugee Camp
281,Dibulla,CO,89.08,few clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
283,Moron,AR,73.8,clear sky,-34.6534,-58.6198,Hotel Morón
284,Te Anau,NZ,39.38,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
285,Whitehorse,CA,27.1,scattered clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
286,Dongying,CN,55.38,clear sky,37.4564,118.4856,Wanda Realm
287,Paralimni,CY,68.49,clear sky,35.0375,33.9833,Amore Hotel Apartments
289,Ust-Ilimsk,RU,39.43,overcast clouds,58.0006,102.6619,AleNat Center
290,Coquimbo,CL,62.33,clear sky,-29.9533,-71.3436,Hotel San Juan
291,Victoria,HK,73.18,overcast clouds,22.2855,114.1577,Mini Hotel Central
292,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
293,Bandarbeyla,SO,82.71,broken clouds,9.4942,50.8122,JABIR HOTEL
294,Smithers,CA,26.92,clear sky,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
295,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
296,Manhumirim,BR,71.4,broken clouds,-20.3578,-41.9581,Palace Hotel de Manhumirim
297,Hervey Bay,AU,69.26,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
299,Urbana,US,51.12,clear sky,40.1106,-88.2073,Hilton Garden Inn Champaign/ Urbana
300,Mangla,PK,85.57,few clouds,31.8931,72.3817,Rana Tariq Aziz House
301,Vestmanna,FO,45.52,overcast clouds,62.1564,-7.1664,Vestmanna Camping
303,Fasa,IR,76.24,scattered clouds,28.9383,53.6482,Fasa University Boys' Dormitory
304,Muroto,JP,55.51,overcast clouds,33.2833,134.15,Oota Ryokan
305,Talcahuano,CL,60.48,very heavy rain,-36.7167,-73.1167,departamento comodo
306,Mutsu,JP,42.66,clear sky,41.2894,141.2169,Mutsu Park Hotel
307,Narsaq,GL,39.42,clear sky,60.9167,-46.05,Sleep In Narsaq
308,Noratus,AM,37.96,overcast clouds,40.3755,45.1772,Oazis
309,Iqaluit,CA,6.53,broken clouds,63.7506,-68.5145,Frobisher Inn
311,Tura,IN,70.56,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
312,Vestmannaeyjar,IS,47.39,light rain,63.4427,-20.2734,Glamping & Camping
313,Kropotkin,RU,55.27,few clouds,45.4375,40.5756,Hotel Europe Kropotkin
315,Cabo San Lucas,MX,85.6,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
316,Soe,ID,66.45,moderate rain,-9.8607,124.284,Dena Hotel
317,Vardo,NO,37.96,light rain,70.3705,31.1107,Vardø Hotel AS
318,Zaysan,KZ,50.65,clear sky,47.4667,84.8667,Ерлан үй
319,Rafaela,AR,71.98,scattered clouds,-31.2503,-61.4867,Parra Hotel & Suites
320,Mahon,ES,70.36,clear sky,39.8885,4.2658,ARTIEM Capri
321,Acajutla,SV,87.94,broken clouds,13.5928,-89.8275,Laureles
322,Nabire,ID,77.05,heavy intensity rain,-3.3667,135.4833,Hotel Nusantara I
323,Arys,KZ,69.42,broken clouds,42.4252,68.795,Gostinitsa
324,Tukrah,LY,71.26,overcast clouds,32.5341,20.5791,Lagrota restaurant
325,Bol,TD,84.07,broken clouds,13.4586,14.7147,Harrouni camp de passage
326,Ransang,PH,78.1,broken clouds,8.9603,117.5828,Black and Crystal Sand Campsite
327,Puerto Del Rosario,ES,71.35,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
328,Varkkallai,IN,85.78,broken clouds,8.7341,76.7067,Hindustan Beach Retreat
329,Baruun-Urt,MN,40.14,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
330,Morrope,PE,69.91,scattered clouds,-6.5417,-80.0111,CASA WAYRA HOTEL
334,Pevek,RU,3.58,overcast clouds,69.7008,170.3133,Severnoye Zoloto
335,Paciran,ID,80.46,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
336,Iwanai,JP,38.3,few clouds,42.9744,140.5089,いわない高原ホテル
337,Lerwick,GB,46.4,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
338,Udachnyy,RU,26.46,overcast clouds,66.4167,112.4,Severnoye Siyaniye
339,Kinshasa,CD,81.03,broken clouds,-4.3246,15.3215,Star Hotel II
340,Macherla,IN,86.68,overcast clouds,16.4833,79.4333,Vivek express
341,Nyrob,RU,25.23,overcast clouds,60.733,56.7202,Gostinitsa
342,Fukue,JP,57.58,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
343,Olinda,BR,87.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
344,Osakarovka,KZ,60.35,overcast clouds,50.565,72.5692,Motel' Osakarovka
345,Portland,US,47.98,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
346,Muromtsevo,RU,52.5,overcast clouds,56.3724,75.2418,Plyazh U Reki Tara
347,Lompoc,US,61.79,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
348,Nuuk,GL,27.21,clear sky,64.1835,-51.7216,Vandrehuset
349,Tazovskiy,RU,18.59,overcast clouds,67.4667,78.7,TazHostel
350,Kambove,CD,64.33,moderate rain,-10.8764,26.5969,Couvant des soeurs catholiques
351,Pleshanovo,RU,43.36,scattered clouds,52.8333,53.4833,Gostevoy Dom Magiya Uyuta
352,Presidencia Roque Saenz Pena,AR,73.8,broken clouds,-26.7852,-60.4388,Hotel Gualok
353,Ulladulla,AU,58.1,clear sky,-35.35,150.4667,Sandpiper Motel
354,Conde,BR,89.06,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
355,Axim,GH,78.66,moderate rain,4.8699,-2.2405,Axim Beach Resort And Spa
356,Okha,RU,26.65,overcast clouds,53.5739,142.9478,Sakhalin-Sfera
357,Kavieng,PG,81.57,light rain,-2.5744,150.7967,Nusa Island Retreat
358,Basti,IN,88.45,clear sky,26.8,82.7167,SPOT ON 43231 Hotel Aura Inn SPOT
359,Mandiana,GN,99.14,broken clouds,10.6333,-8.6833,Motels rouzo
360,Cabedelo,BR,90.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
361,Kahului,US,73.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
362,Alugan,PH,78.57,scattered clouds,12.2188,125.4808,JM Lodge
363,Rio Das Pedras,BR,73.2,clear sky,-22.8433,-47.6061,LucasDM
364,Muli,MV,84.56,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
365,Staryy Krym,UA,45.36,overcast clouds,45.0333,35.1,"Otel' ""Solkhat"""
366,Constitucion,CL,63.88,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
367,Port Hardy,CA,42.8,few clouds,50.6996,-127.4199,Airport Inn-Port Hardy
368,Corinto,GR,67.89,clear sky,37.9407,22.9573,Ephira Hotel
369,Houma,US,82.99,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
370,Nishihara,JP,65.48,clear sky,26.1842,127.7558,Minshuku Agaihama
371,Usinsk,RU,15.93,broken clouds,65.9939,57.5281,Dobro Pozhalovaty
373,West Wendover,US,45.61,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
375,Kosonsoy,UZ,66.76,few clouds,41.2561,71.5508,"Гостиница ""Goldstar'"
376,Shelomi,IL,75.79,broken clouds,33.0747,35.1461,"אכסניית אנ""א שלומי- Hi Shlomi Hostel"
377,Chumikan,RU,19.56,light snow,54.7183,135.315,Fortuna
379,Imbituba,BR,70.29,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
380,Neryungri,RU,5.65,broken clouds,56.6709,124.6491,Pyat' Zvozd
381,Port-Cartier,CA,39.42,broken clouds,50.0334,-66.8654,Le Q'Artier
383,Vila,PT,68.7,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
384,Novo Aripuana,BR,85.3,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
385,Saint-Michel-Des-Saints,CA,36.93,overcast clouds,46.6834,-73.9159,Motel Du Mont trinity
386,Linkou,CN,37.18,clear sky,45.3,130.2833,Yueliang Resort
387,Punta Alta,AR,68.59,very heavy rain,-38.8759,-62.0736,Center Hotel Punta Alta
388,Ellisras,ZA,66.79,light rain,-23.6649,27.7443,Lapa le le guesthouse
389,Mareeba,AU,68.72,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
390,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
391,Kant,IN,88.92,clear sky,27.8,79.8,Haseeb Khan shatreng
392,Leskolovo,RU,32.86,few clouds,60.2634,30.4546,"Kp ""5 Kholmov"""
393,Lakheri,IN,93.52,clear sky,25.6667,76.1667,प्रहलाद जी सैनी
394,Chimbote,PE,71.65,broken clouds,-9.0853,-78.5783,Hotel Briliá
395,Tuntum,BR,84.69,scattered clouds,-5.2581,-44.6489,Casa da Dona Maria Lúcia
396,Yamaga,JP,49.84,overcast clouds,33.0167,130.6833,山鹿温泉 清流荘
397,Lavos,PT,66.31,scattered clouds,40.0936,-8.8283,Guest House GO Surf hostel
399,Kurchum,KZ,48.67,clear sky,48.5722,83.6542,"Gostinitsa ""Kneda"""
400,Vicuna,CL,77.77,clear sky,-30.0319,-70.7081,Los Mosaicos
401,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
402,Hofn,IS,46.06,light rain,64.2539,-15.2082,Hótel Höfn
403,Sept-Iles,CA,39.72,broken clouds,50.2001,-66.3821,Comfort Inn
404,The Pas,CA,21.22,few clouds,53.8251,-101.2541,Wescana Inn
405,Come,BJ,85.24,overcast clouds,6.4076,1.882,Hôtel la concorde chez Mehinnou
406,Longyearbyen,SJ,26.44,overcast clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
407,Zyryanovsk,KZ,34.66,overcast clouds,49.7386,84.2719,Гостиница «ЭВЕРЕСТ»
408,Mlonggo,ID,79.0,broken clouds,-6.5333,110.7,Asia Metal Art
409,Katobu,ID,75.63,light rain,-4.9408,122.5276,La Ode Husein
410,Nicoya,CR,93.27,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
411,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
413,Aksu,CN,56.86,clear sky,41.1231,80.2644,Pudong Holiday Hotel
414,Manzhouli,CN,32.59,broken clouds,49.6,117.4333,Angala International Youth Hostel
415,Codo,BR,84.27,overcast clouds,-4.4553,-43.8856,Hotel Porto do Sol
416,Tottenham,AU,59.4,clear sky,-32.2333,147.35,Blue Gum Lodge
417,Sarab,IR,54.64,few clouds,38.6066,44.9883,مسجد امام رضا
418,Jacareacanga,BR,84.67,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
420,Tautira,PF,80.85,few clouds,-17.7333,-149.15,Pension Oaoa
421,Kilindoni,TZ,81.84,moderate rain,-7.9139,39.6668,Bustani B&B
422,Sao Miguel Do Araguaia,BR,86.77,few clouds,-13.275,-50.1628,Hotel Executivo Palace
423,Healdsburg,US,57.97,overcast clouds,38.6105,-122.8692,Best Western Dry Creek Inn
425,Anshun,CN,43.25,overcast clouds,26.25,105.9333,安顺麦吉风格酒店
426,Moranbah,AU,63.66,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
427,Dunmore Town,BS,76.28,overcast clouds,25.5,-76.65,Coral Sands Hotel
428,Puerto Escondido,MX,88.39,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
429,Kulhudhuffushi,MV,84.9,few clouds,6.6221,73.07,Haajy Guest House 1
430,General Pico,AR,74.75,very heavy rain,-35.6566,-63.7568,Euskadi Hotel
431,Lewistown,US,65.8,broken clouds,40.5992,-77.5714,Quality Inn & Suites
432,Ahome,MX,75.15,overcast clouds,25.9167,-109.1833,LA HOUSE DE LA ALEJANDRA
433,Inverell,AU,51.15,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
434,Klamath Falls,US,36.86,moderate rain,42.2249,-121.7817,"Holiday Inn Express & Suites Klamath Falls Central, an IHG Hotel"
435,Turayf,SA,75.45,clear sky,31.6725,38.6637,Turaif
436,Zhengjiatun,CN,48.69,scattered clouds,43.5064,123.5064,Siping Hexiang Hotel
437,Huarmey,PE,72.57,overcast clouds,-10.0681,-78.1522,Hotel Miramar
438,Harper,LR,82.35,light rain,4.375,-7.7169,Screensaver
439,Malartic,CA,30.31,overcast clouds,48.1335,-78.1328,Camping Regional De Malartic
441,Matamoros,MX,85.15,overcast clouds,25.5333,-103.25,Quinta Belem
442,Zalantun,CN,34.84,broken clouds,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
445,Dhidhdhoo,MV,84.99,few clouds,6.8833,73.1,Dhidhoo beach
446,Plettenberg Bay,ZA,60.53,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
448,Minna,NG,94.71,few clouds,9.6139,6.5569,Royal Park hotel & suites
449,Wukari,NG,93.36,broken clouds,7.85,9.7833,Elimtop
450,Pinerolo,IT,76.06,broken clouds,44.8833,7.35,Glicini Hotel
451,Atar,MR,99.28,clear sky,20.5169,-13.0499,Oumou Elghoura
452,San-Pedro,CI,82.04,overcast clouds,4.7485,-6.6363,Hotel Maria
453,Menongue,AO,67.35,light rain,-14.6585,17.691,Ritz Lauca
454,Liepaja,LV,42.78,clear sky,56.5419,21.0367,Promenade Hotel
455,Bonavista,CA,39.65,broken clouds,48.6499,-53.1147,Sweet Sharons bnb
456,Shahr-E Babak,IR,70.14,overcast clouds,30.1165,55.1186,Duna Ecolodge
457,Kloulklubed,PW,73.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
