,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
458,Gweta,BW,-20.1833,25.2333,74.3,68,86,20.02,light rain
459,Amapa,BR,1.0,-52.0,84.69,66,89,4.23,overcast clouds
460,Rusape,ZW,-18.5278,32.1284,63.9,91,84,7.85,light rain
461,Sovetskiy,RU,61.3614,63.5842,29.71,94,100,3.83,overcast clouds
462,Andenes,NO,69.3143,16.1194,42.78,93,100,19.57,overcast clouds
463,Boa Viagem,BR,-5.1275,-39.7322,90.59,45,62,4.14,broken clouds
464,Karonga,MW,-9.9333,33.9333,74.44,85,98,5.61,light rain
465,Port Macquarie,AU,-31.4333,152.9167,55.89,84,23,6.82,few clouds
466,Kalmunai,LK,7.4167,81.8167,80.1,86,56,12.21,broken clouds
467,El Reno,US,35.5323,-97.955,51.55,40,100,29.93,overcast clouds
468,Evensk,RU,61.95,159.2333,23.02,82,100,5.75,overcast clouds
469,Tiznit,MA,29.5833,-9.5,84.15,14,29,0.98,scattered clouds
470,Nemuro,JP,43.3236,145.575,32.34,74,5,6.55,clear sky
471,Bara,NG,10.3744,10.7288,98.11,27,12,5.84,few clouds
472,Caidian,CN,30.5833,114.0333,57.33,70,72,3.04,broken clouds
473,Tilichiki,RU,60.4667,166.1,15.49,96,95,5.68,overcast clouds
474,Kungurtug,RU,50.5994,97.5228,26.83,90,30,1.81,scattered clouds
475,Griffith,US,41.5284,-87.4237,45.27,54,0,12.66,clear sky
476,Karratha,AU,-20.7377,116.8463,84.09,47,14,8.03,few clouds
477,Agua Dulce,MX,18.1333,-94.1333,83.98,58,12,4.36,few clouds
478,Capao Bonito,BR,-24.0058,-48.3494,70.61,51,2,6.42,clear sky
479,Pangnirtung,CA,66.1451,-65.7125,3.2,72,20,5.75,few clouds
480,Madera,US,37.1666,-119.8343,58.44,90,96,1.01,overcast clouds
481,Girua,BR,-28.0283,-54.3497,68.49,49,0,6.49,clear sky
482,Nador,MA,35.174,-2.9287,77.07,37,0,4.61,clear sky
483,Castlegar,CA,49.2998,-117.6689,38.98,60,84,4.65,broken clouds
484,Luoyang,CN,34.6836,112.4536,51.75,32,100,2.33,overcast clouds
485,Shingu,JP,33.7333,135.9833,48.67,58,65,5.88,broken clouds
486,Sao Felix Do Xingu,BR,-6.6447,-51.995,86.92,64,65,2.24,very heavy rain
487,Nenjiang,CN,49.1833,125.2167,31.33,49,4,7.94,clear sky
488,Aransas Pass,US,27.9095,-97.15,82.22,89,75,16.11,broken clouds
489,Santa Cruz,BO,-17.8,-63.1667,74.66,53,100,13.8,overcast clouds
490,Pandamatenga,BW,-18.5278,25.627,72.43,69,84,5.37,light rain
491,Sakaiminato,JP,35.55,133.2333,40.98,87,78,4.61,broken clouds
492,Kaspiysk,RU,42.8816,47.6392,48.24,87,3,4.47,clear sky
493,Baykit,RU,61.67,96.37,38.01,98,100,4.09,overcast clouds
494,Roald,NO,62.5833,6.1333,54.52,76,0,10.36,clear sky
495,Sola,VU,-13.8833,167.55,81.57,72,100,2.64,overcast clouds
496,Caceres,ES,39.522,-6.3748,77.4,42,4,7.09,clear sky
497,Gimli,CA,50.6336,-96.9907,19.42,53,100,6.91,overcast clouds
498,Mitu,CO,1.1983,-70.1733,76.66,86,100,2.71,overcast clouds
499,Shubarshi,KZ,48.5872,57.1869,51.89,69,67,7.4,broken clouds
500,Rondonopolis,BR,-16.4708,-54.6356,86.2,56,14,3.65,few clouds
501,Ust-Tsilma,RU,65.441,52.1498,21.36,96,100,2.39,overcast clouds
502,Aswan,EG,24.0934,32.907,99.7,6,0,6.91,clear sky
503,Khandbari,NP,27.3747,87.2039,70.07,35,47,5.03,scattered clouds
504,Matara,LK,5.9485,80.5353,80.22,84,50,4.27,scattered clouds
505,Makakilo City,US,21.3469,-158.0858,71.92,84,100,5.75,light intensity drizzle
506,Luziania,BR,-16.2525,-47.9503,84.97,48,4,1.9,clear sky
507,Bahia Honda,CU,22.9036,-83.1592,85.39,56,16,9.28,few clouds
508,Ballina,AU,-28.8667,153.5667,62.56,96,75,9.22,broken clouds
509,Ahuimanu,US,21.4447,-157.8378,73.11,88,75,4.61,broken clouds
510,Kota Bahru,MY,6.1333,102.2386,78.75,88,20,3.44,few clouds
511,Hearst,CA,49.6835,-83.6665,23.25,83,100,8.84,light snow
512,Zhigansk,RU,66.7697,123.3711,-7.04,100,29,3.91,scattered clouds
513,Yokadouma,CM,3.5167,15.05,80.28,64,93,1.88,overcast clouds
514,George,ZA,-33.963,22.4617,58.55,77,40,11.5,scattered clouds
515,Zaranj,AF,30.9667,61.8833,82.36,21,61,11.07,broken clouds
516,Saldanha,ZA,-33.0117,17.9442,71.65,63,0,12.82,clear sky
517,Omsukchan,RU,62.5333,155.8,1.74,99,99,4.7,overcast clouds
518,Alyangula,AU,-13.8483,136.4192,75.07,94,40,3.44,scattered clouds
519,Ahipara,NZ,-35.1667,173.1667,64.06,82,71,10.09,broken clouds
520,Kiruna,SE,67.8557,20.2251,43.72,57,20,3.44,few clouds
521,Iringa,TZ,-7.7667,35.7,69.12,56,40,6.91,scattered clouds
522,Inirida,CO,3.8653,-67.9239,80.67,75,100,6.2,overcast clouds
523,Binga,ZW,-17.6203,27.3414,77.63,65,70,2.51,broken clouds
524,Maumere,ID,-8.6199,122.2111,80.67,81,98,3.91,overcast clouds
525,Dzerzhinskoye,RU,56.8344,95.2283,43.16,89,100,4.25,overcast clouds
526,Raudeberg,NO,61.9875,5.1352,47.95,69,100,22.75,overcast clouds
527,Dalvik,IS,65.9702,-18.5286,55.33,76,100,9.73,overcast clouds
528,Waipawa,NZ,-41.4122,175.5153,49.35,79,61,6.26,broken clouds
529,Skawina,PL,49.9752,19.8287,46.38,48,75,12.66,broken clouds
530,Mednogorsk,RU,51.4128,57.595,44.38,65,6,4.79,clear sky
531,Pedernales,DO,18.0384,-71.744,85.84,51,95,5.17,overcast clouds
532,Svetlogorsk,BY,52.6333,29.7333,38.7,76,96,9.1,overcast clouds
533,Komatipoort,ZA,-25.4332,31.9548,68.2,76,100,13.82,overcast clouds
534,Smila,UA,49.2224,31.8871,46.04,89,100,13.69,light rain
535,Kousseri,CM,12.0769,15.0306,103.96,25,40,4.61,thunderstorm
536,Ayorou,NE,14.7308,0.9174,98.55,20,100,12.5,overcast clouds
537,Svetlyy,RU,54.675,20.1347,42.85,75,17,13.85,few clouds
538,Roebourne,AU,-20.7833,117.1333,83.8,43,13,8.23,few clouds
539,Nantucket,US,41.2835,-70.0995,60.94,71,0,20.71,clear sky
540,Madang,PG,-5.2246,145.7966,76.32,90,71,2.33,broken clouds
541,Ayni,TJ,39.3941,68.5377,62.65,53,100,1.72,overcast clouds
542,Matay,EG,28.419,30.7792,88.02,9,3,6.78,clear sky
543,Gonbad-E Qabus,IR,37.25,55.1672,52.75,87,100,0.0,light rain
544,Nizhniy Kuranakh,RU,58.8353,125.4869,21.96,98,100,0.87,light snow
545,Amazar,RU,53.858,120.875,19.33,73,7,4.36,clear sky
546,Half Moon Bay,US,37.4636,-122.4286,59.79,93,100,6.91,mist
547,Tynda,RU,55.1667,124.7167,10.44,92,70,4.27,broken clouds
548,Jalu,LY,29.0331,21.5482,101.66,6,10,18.57,clear sky
549,Lasa,IT,46.6166,10.7002,58.37,74,14,7.81,few clouds
550,Longonjo,AO,-12.9067,15.2533,66.69,86,88,1.72,moderate rain
551,Collie,AU,-33.3667,116.15,51.17,92,33,2.91,scattered clouds
552,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.59,74,0,2.24,clear sky
553,Oksfjord,NO,70.2396,22.3479,45.0,97,100,19.33,overcast clouds
554,Abapo,BO,-18.8333,-63.4667,75.22,28,40,4.83,scattered clouds
555,Kuna,US,43.4918,-116.4201,47.21,71,40,19.57,light rain
556,Palmer,US,42.1584,-72.3287,65.43,43,100,13.8,overcast clouds
557,Sussex,US,41.1834,-74.6663,67.95,45,75,11.5,broken clouds
558,Buenavista,PH,8.9769,125.4089,75.15,92,15,4.23,few clouds
559,Alvaraes,BR,-3.2208,-64.8042,87.67,72,100,3.76,overcast clouds
560,Salalah,OM,17.0151,54.0924,82.49,83,0,8.05,clear sky
561,Wielun,PL,51.221,18.5696,45.99,54,90,14.58,overcast clouds
562,Dickson,US,36.077,-87.3878,65.95,86,100,5.75,overcast clouds
563,Sulina,RO,45.1559,29.6536,53.4,74,95,7.47,overcast clouds
564,Beyneu,KZ,45.3167,55.2,61.83,35,27,4.85,scattered clouds
565,Lavrentiya,RU,65.5833,-171.0,24.57,96,100,10.51,light snow
566,Ca Mau,VN,9.1769,105.15,78.69,87,34,3.38,scattered clouds
567,Progreso,MX,21.2833,-89.6667,90.1,49,16,7.83,few clouds
568,Riyadh,SA,24.6877,46.7219,84.34,28,88,17.11,overcast clouds
569,Harrisburg,US,40.2737,-76.8844,70.11,43,100,5.99,overcast clouds
570,Alekseyevsk,RU,57.8406,108.3492,36.48,94,100,8.01,light rain
571,Tocopilla,CL,-22.092,-70.1979,68.16,65,6,10.11,clear sky
572,Inhambane,MZ,-23.865,35.3833,78.78,78,75,8.05,broken clouds
573,Bouna,CI,9.2667,-3.0,85.68,52,99,3.56,light rain
574,Nurota,UZ,40.5614,65.6886,72.36,21,84,10.58,broken clouds
575,Vilhena,BR,-12.7406,-60.1458,80.82,74,75,4.61,broken clouds
576,Xocali,AZ,39.913,46.7903,49.28,64,94,4.27,overcast clouds
577,Berezanka,UA,46.8526,31.388,49.66,81,100,8.05,overcast clouds
578,Linz,AT,48.3064,14.2861,46.92,52,75,8.05,broken clouds
579,Kiama,AU,-34.6833,150.8667,59.38,92,13,5.53,few clouds
580,Zhezkazgan,KZ,47.8043,67.7144,66.9,28,100,3.91,overcast clouds
581,Igarka,RU,67.4667,86.5833,28.94,98,100,13.56,snow
582,Rundu,NA,-17.9333,19.7667,69.37,75,100,2.98,light rain
583,Bowen,AU,-20.0167,148.2333,72.3,79,73,12.75,broken clouds
584,Srednekolymsk,RU,67.45,153.6833,-1.59,100,100,2.42,overcast clouds
585,Phalombe,MW,-15.8064,35.6507,69.08,90,11,5.57,few clouds
586,Khandyga,RU,62.6667,135.6,-1.57,99,68,1.34,broken clouds
587,Miranda,CO,3.2499,-76.2281,75.33,68,77,4.74,broken clouds
588,Freeport,US,40.6576,-73.5832,69.98,53,0,12.66,clear sky
589,Merauke,ID,-8.4667,140.3333,77.25,90,91,8.81,overcast clouds
590,Anito,PH,12.4497,125.2886,76.87,88,19,4.79,few clouds
591,Simao,CN,22.7886,100.9748,68.41,64,37,2.8,scattered clouds
592,Baker City,US,44.7749,-117.8344,35.64,98,100,3.44,snow
593,Knysna,ZA,-34.0363,23.0471,60.26,77,28,11.16,scattered clouds
594,Amqui,CA,48.4638,-67.4313,42.66,61,53,15.68,broken clouds
595,Pasco,US,28.292,-82.4165,87.03,61,13,3.0,few clouds
596,Fukuma,JP,33.7667,130.4667,48.2,59,100,5.48,overcast clouds
597,Margate,GB,51.3813,1.3862,54.7,75,3,4.0,clear sky
598,Sigli,ID,5.3848,95.9609,81.45,81,94,3.38,overcast clouds
599,Harnosand,SE,62.6323,17.9379,48.22,78,100,9.35,overcast clouds
600,Belogorsk,RU,50.9158,128.4611,32.05,86,58,12.91,broken clouds
601,Pacasmayo,PE,-7.4006,-79.5714,72.16,73,40,14.72,scattered clouds
602,Kadyy,RU,57.787,43.1903,33.53,67,100,7.92,overcast clouds
603,Mazara Del Vallo,IT,37.6641,12.588,63.93,65,62,12.86,broken clouds
604,Muisne,EC,0.6,-80.0333,80.24,77,98,7.92,overcast clouds
605,Kirkwall,GB,58.9848,-2.9587,46.96,100,100,14.97,mist
606,Dauriya,RU,49.9333,116.8667,32.2,53,50,7.56,scattered clouds
607,Hwange,ZW,-18.3693,26.5019,77.0,57,53,4.0,broken clouds
608,Natchitoches,US,31.7668,-93.1335,78.78,78,100,10.36,overcast clouds
609,Amarillo,US,35.222,-101.8313,43.21,42,100,19.57,overcast clouds
610,Saint-Paul,RE,-21.0096,55.2707,78.91,80,61,1.25,light rain
611,Lambare,PY,-25.3468,-57.6065,75.04,41,0,4.61,clear sky
612,Puerto Colombia,CO,10.9878,-74.9547,93.29,73,6,18.79,clear sky
613,Cabra,ES,37.4725,-4.4421,76.12,33,0,5.64,clear sky
614,Cantagallo,CO,7.376,-73.9196,75.78,69,97,0.94,overcast clouds
615,Pandan,PH,14.0453,124.1694,78.21,82,44,6.22,scattered clouds
616,Sungaipenuh,ID,-2.0833,101.3833,66.85,97,100,1.68,light rain
617,Santa Rosalia,MX,27.3167,-112.2833,77.77,21,100,3.0,overcast clouds
618,Novosergiyevka,RU,52.0934,53.6528,45.25,59,22,3.67,few clouds
619,Cornelius,US,35.4868,-80.8601,71.55,57,0,11.5,clear sky
620,Bela,IN,25.9333,81.9833,91.35,10,88,5.61,overcast clouds
621,Chapais,CA,49.7834,-74.8492,31.78,72,99,11.65,overcast clouds
622,Belmonte,BR,-15.8631,-38.8828,75.67,91,100,12.97,heavy intensity rain
623,Nanakuli,US,21.3906,-158.1547,73.35,88,100,5.75,light intensity drizzle
624,Poltava,UA,49.5937,34.5407,49.98,89,100,4.7,overcast clouds
625,Thunder Bay,CA,48.4001,-89.3168,26.29,63,100,13.8,overcast clouds
626,Alice Springs,AU,-23.7,133.8833,74.75,32,7,6.91,clear sky
627,Ngaoundere,CM,7.3167,13.5833,76.33,60,85,3.91,overcast clouds
628,Gat,IL,31.61,34.7642,74.39,100,28,7.83,scattered clouds
629,Derzhavinsk,KZ,51.1,66.3167,51.46,65,97,4.88,overcast clouds
630,San Jose De Rio Tinto,HN,14.9333,-85.7,92.77,34,96,5.82,overcast clouds
631,Nong Kung Si,TH,16.65,103.3,88.57,99,55,8.48,broken clouds
632,Iquitos,PE,-3.7481,-73.2472,80.64,83,75,6.91,broken clouds
633,Luangwa,ZM,-15.6167,30.4167,78.49,62,33,2.21,scattered clouds
634,Beloha,MG,-25.1667,45.05,76.33,78,25,5.39,scattered clouds
635,Sambava,MG,-14.2667,50.1667,77.88,85,4,12.48,clear sky
636,Itacoatiara,BR,-3.1431,-58.4442,80.62,89,99,3.18,moderate rain
637,Gamba,GA,-2.65,10.0,79.88,83,89,5.97,overcast clouds
638,Melito Di Porto Salvo,IT,37.9222,15.7714,68.56,39,53,5.75,broken clouds
639,Jiwani,PK,25.05,61.7417,81.99,78,21,8.03,few clouds
640,Komsomolskiy,UZ,40.4272,71.7189,68.72,32,28,4.61,scattered clouds
641,Gold Coast,AU,-28.0,153.4333,65.17,90,93,8.05,light rain
642,Saint-Joseph,RE,-21.3667,55.6167,77.38,82,54,12.68,light rain
643,Bairnsdale,AU,-37.8333,147.6167,57.74,75,85,5.03,overcast clouds
644,Oktyabrskiy,RU,54.4815,53.471,36.7,73,59,2.17,broken clouds
645,Pochutla,MX,15.7432,-96.4661,91.81,41,50,8.1,scattered clouds
646,Vao,NC,-22.6667,167.4833,76.64,75,2,9.24,clear sky
647,Gravdal,NO,68.1214,13.5031,42.01,94,100,10.87,overcast clouds
648,Quang Ngai,VN,15.1167,108.8,74.19,95,21,3.42,few clouds
649,Atbasar,KZ,51.8,68.3333,52.14,60,100,5.21,overcast clouds
650,Taltal,CL,-25.4,-70.4833,65.43,69,0,6.98,clear sky
651,Dunmore,US,41.4198,-75.6324,60.6,70,75,16.11,broken clouds
652,Salinopolis,BR,-0.6136,-47.3561,81.23,81,65,6.91,broken clouds
653,Mecca,SA,21.4267,39.8261,86.49,30,0,5.46,clear sky
654,Veinticinco De Diciembre,MX,25.2602,-104.0519,82.62,9,89,3.02,overcast clouds
655,Teguise,ES,29.0605,-13.564,68.22,78,0,16.11,clear sky
656,Suez,EG,29.9737,32.5263,78.6,13,5,9.93,clear sky
657,Lyaskelya,RU,61.7667,31.0167,33.03,88,98,2.19,overcast clouds
658,Chiautla,MX,19.5333,-98.8833,75.94,28,8,4.0,clear sky
659,Mountain Home,US,43.133,-115.6912,44.08,100,100,27.63,overcast clouds
660,Susangerd,IR,31.5608,48.1831,81.82,11,60,12.53,broken clouds
661,Marsa Matruh,EG,31.3525,27.2453,68.2,60,98,19.57,overcast clouds
662,Miles City,US,46.4083,-105.8406,22.17,73,0,4.61,clear sky
663,Rio Gallegos,AR,-51.6226,-69.2181,50.05,66,0,1.14,clear sky
664,Kudahuvadhoo,MV,2.6708,72.8944,84.47,74,35,7.63,scattered clouds
665,Kihei,US,20.785,-156.4656,73.85,92,40,13.8,light rain
666,Shieli,KZ,44.1667,66.75,72.64,27,99,15.84,overcast clouds
667,Jucurutu,BR,-6.0339,-37.0203,96.71,33,76,3.62,broken clouds
668,Muros,ES,42.7762,-9.0603,76.68,76,65,8.95,broken clouds
669,Mount Gambier,AU,-37.8333,140.7667,58.91,82,99,10.36,overcast clouds
670,Southbridge,US,42.0751,-72.0334,65.3,48,100,8.99,overcast clouds
671,Saint Anthony,US,45.0205,-93.218,36.34,48,0,17.27,clear sky
672,Yecla,ES,38.6137,-1.1147,74.79,30,10,10.94,clear sky
673,Salta,AR,-24.7859,-65.4117,69.58,50,40,3.44,scattered clouds
674,Teruel,ES,40.6667,-0.6667,58.93,40,1,19.55,clear sky
675,Kasongo,CD,-4.45,26.6667,71.13,87,100,1.36,overcast clouds
676,Avera,US,33.194,-82.5271,63.55,88,100,6.67,overcast clouds
677,Zaraysk,RU,54.7653,38.8836,33.33,93,100,17.13,light snow
678,Sinnamary,GF,5.3833,-52.95,82.36,68,87,10.45,overcast clouds
679,Batemans Bay,AU,-35.7167,150.1833,61.11,91,2,4.45,clear sky
680,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.96,100,100,9.22,overcast clouds
681,Gohpur,IN,26.8833,93.6333,72.3,90,67,2.93,broken clouds
682,Verin,ES,41.9415,-7.4381,74.84,44,96,7.11,overcast clouds
683,Westport,US,41.1415,-73.3579,68.14,47,100,4.0,overcast clouds
684,Luwuk,ID,-0.9516,122.7875,78.21,88,98,2.24,overcast clouds
685,Itarema,BR,-2.9248,-39.9167,84.45,70,96,7.81,overcast clouds
686,Rajanpur,PK,29.1035,70.325,91.8,5,9,2.84,clear sky
687,Cap Malheureux,MU,-19.9842,57.6142,77.47,80,14,5.01,few clouds
